atom_num_X,atom_num_Y,atom_num_Z,d_val_X,d_val_Y,d_val_Z,num_valence,tot_mag
21,29,32,2.0,10.0,0.0,21.0,-0.045
25,30,50,5.0,10.0,10.0,30.0,6.115
27,25,49,7.0,5.0,10.0,28.0,4.44
24,30,50,5.0,10.0,0.0,28.0,0.081
28,25,50,9.0,6.0,0.0,31.0,3.981
26,26,14,7.0,7.0,0.0,28.0,5.19
23,24,13,4.0,5.0,0.0,19.0,-0.825
25,28,14,5.0,8.0,0.0,28.0,3.725
22,29,31,3.0,10.0,0.0,22.0,0.0
28,28,5,9.0,9.0,0.0,33.0,0.003
22,26,13,3.0,7.0,0.0,19.0,-1.012
23,23,32,4.0,4.0,0.0,19.0,-0.897
26,29,83,7.0,10.0,0.0,32.0,5.004
22,28,5,3.0,9.0,0.0,21.0,-0.974
23,30,33,4.0,10.0,0.0,27.0,1.312
21,27,31,2.0,8.0,0.0,18.0,-0.363
21,27,13,2.0,8.0,0.0,18.0,-0.399
23,30,83,4.0,10.0,0.0,27.0,4.552
22,27,32,3.0,8.0,0.0,21.0,-0.003
21,26,5,2.0,7.0,0.0,17.0,-0.465
21,27,33,2.0,8.0,0.0,20.0,-0.023
22,21,82,3.0,2.0,0.0,15.0,-1.611
24,28,50,5.0,9.0,0.0,26.0,0.867
28,30,32,9.0,10.0,0.0,36.0,0.0
21,29,49,2.0,10.0,0.0,20.0,0.0
27,21,51,7.0,1.0,10.0,26.0,2.099
24,23,49,5.0,4.0,0.0,20.0,-3.536
25,28,82,5.0,8.0,10.0,28.0,7.416
24,29,51,5.0,10.0,0.0,28.0,0.315
25,24,13,5.0,5.0,0.0,23.0,-1.047
22,21,13,3.0,2.0,0.0,14.0,-2.423
28,24,14,9.0,5.0,0.0,30.0,2.976
23,30,50,4.0,10.0,0.0,26.0,3.227
24,30,51,5.0,10.0,0.0,29.0,4.339
21,23,83,2.0,4.0,0.0,16.0,-2.074
27,25,82,7.0,5.0,10.0,29.0,5.053
28,21,82,9.0,2.0,0.0,27.0,0.0
23,24,82,4.0,5.0,0.0,20.0,-2.31
25,29,82,5.0,10.0,10.0,29.0,6.927
21,28,50,2.0,9.0,0.0,20.0,-0.002
26,26,49,7.0,7.0,0.0,27.0,7.142
28,30,50,9.0,10.0,0.0,36.0,0.001
26,21,49,7.0,2.0,0.0,22.0,-3.908
24,21,31,5.0,2.0,0.0,18.0,-0.009
27,23,51,7.0,3.0,10.0,28.0,3.373
28,27,33,9.0,8.0,0.0,34.0,0.698
23,21,51,4.0,2.0,0.0,18.0,-0.017
24,27,32,5.0,8.0,0.0,25.0,1.052
28,29,49,9.0,10.0,0.0,34.0,0.001
22,28,49,3.0,9.0,0.0,21.0,-2.577
23,27,82,4.0,8.0,0.0,23.0,-0.944
25,21,5,5.0,1.0,0.0,20.0,-1.811
24,21,14,5.0,2.0,0.0,19.0,-0.052
24,21,33,5.0,2.0,0.0,20.0,-1.161
21,24,5,2.0,5.0,0.0,15.0,-2.445
25,24,14,5.0,5.0,0.0,24.0,0.0
21,27,82,2.0,8.0,0.0,19.0,-1.048
25,24,50,5.0,5.0,10.0,24.0,0.042
23,26,50,4.0,7.0,0.0,22.0,-1.905
28,30,14,9.0,10.0,0.0,36.0,0.001
26,28,14,7.0,9.0,0.0,30.0,4.761
23,24,50,4.0,5.0,0.0,20.0,-2.147
28,29,50,9.0,10.0,0.0,35.0,0.002
26,23,82,7.0,4.0,0.0,25.0,2.753
27,24,50,7.0,5.0,10.0,28.0,3.957
28,27,82,9.0,8.0,0.0,33.0,0.394
22,27,83,3.0,8.0,0.0,22.0,-2.109
25,28,51,5.0,8.0,10.0,29.0,4.594
21,24,14,2.0,5.0,0.0,16.0,-2.65
23,21,50,4.0,2.0,0.0,17.0,-0.303
22,30,5,3.0,10.0,0.0,23.0,-0.002
26,23,49,7.0,4.0,0.0,24.0,0.0
24,29,82,5.0,10.0,0.0,27.0,0.141
26,21,14,7.0,2.0,0.0,23.0,-0.951
28,21,13,9.0,2.0,0.0,26.0,0.0
24,21,82,5.0,2.0,0.0,19.0,-0.725
23,25,32,4.0,6.0,0.0,21.0,-2.549
25,29,31,5.0,10.0,10.0,28.0,5.534
23,26,83,4.0,7.0,0.0,23.0,-0.838
22,24,51,3.0,5.0,0.0,19.0,-0.228
28,21,33,9.0,2.0,0.0,28.0,0.0
22,26,51,3.0,7.0,0.0,21.0,-1.72
25,29,51,5.0,10.0,10.0,30.0,6.287
22,25,82,3.0,6.0,0.0,19.0,-1.054
26,21,33,7.0,2.0,0.0,24.0,0.0
24,25,83,5.0,6.0,0.0,24.0,0.033
21,30,82,2.0,10.0,0.0,22.0,-0.01
21,27,32,2.0,8.0,0.0,19.0,-0.889
21,26,31,2.0,7.0,0.0,17.0,-0.774
28,24,32,9.0,5.0,0.0,30.0,3.03
21,26,50,2.0,7.0,0.0,18.0,-1.672
21,21,33,2.0,2.0,0.0,14.0,-0.005
26,29,14,7.0,10.0,0.0,31.0,2.571
25,29,50,5.0,10.0,10.0,29.0,6.418
24,24,13,5.0,5.0,0.0,21.0,-2.708
25,27,31,5.0,7.0,10.0,26.0,1.988
21,26,13,2.0,7.0,0.0,17.0,-0.562
27,25,14,7.0,5.0,0.0,29.0,5.027
22,30,33,3.0,10.0,0.0,25.0,0.0
22,28,83,3.0,9.0,0.0,23.0,-0.981
21,21,82,2.0,2.0,0.0,13.0,-1.258
23,21,31,4.0,2.0,0.0,16.0,-0.259
27,25,32,7.0,5.0,10.0,29.0,4.994
26,25,31,7.0,6.0,0.0,26.0,7.239
22,25,14,3.0,6.0,0.0,19.0,-0.177
24,30,82,5.0,10.0,0.0,28.0,0.07
22,26,14,3.0,7.0,0.0,20.0,-1.88
28,27,5,9.0,8.0,0.0,32.0,1.164
23,23,31,4.0,4.0,0.0,18.0,0.0
27,23,13,7.0,3.0,0.0,26.0,2.065
23,23,33,4.0,4.0,0.0,20.0,-0.569
25,26,82,5.0,6.0,10.0,26.0,1.392
25,27,14,5.0,7.0,0.0,27.0,2.988
25,26,13,5.0,6.0,0.0,25.0,1.017
23,28,31,4.0,9.0,0.0,23.0,-1.004
25,27,13,5.0,7.0,0.0,26.0,2.042
28,30,51,9.0,10.0,0.0,37.0,0.0
26,29,32,7.0,10.0,0.0,31.0,4.291
23,23,51,4.0,4.0,0.0,20.0,-1.713
25,30,82,5.0,10.0,10.0,30.0,6.663
21,29,14,2.0,10.0,0.0,21.0,-0.008
24,29,49,5.0,10.0,0.0,26.0,0.087
24,24,33,5.0,5.0,0.0,23.0,-0.918
23,29,33,4.0,10.0,0.0,26.0,0.558
27,21,31,7.0,1.0,10.0,24.0,0.0
21,21,31,2.0,2.0,0.0,12.0,-0.917
23,29,5,4.0,10.0,0.0,24.0,0.006
23,28,14,4.0,9.0,0.0,24.0,0.285
26,21,83,7.0,2.0,0.0,24.0,3.388
23,29,32,4.0,10.0,0.0,25.0,0.003
25,21,13,5.0,1.0,0.0,20.0,-4.001
28,27,13,9.0,8.0,0.0,32.0,1.561
22,26,83,3.0,7.0,0.0,21.0,-1.322
21,29,50,2.0,10.0,0.0,21.0,-0.283
21,30,31,2.0,10.0,0.0,21.0,-0.002
22,21,49,3.0,2.0,0.0,14.0,-2.515
26,27,31,7.0,8.0,0.0,28.0,5.285
26,26,51,7.0,7.0,0.0,29.0,6.245
24,28,83,5.0,9.0,0.0,27.0,0.376
22,23,14,3.0,4.0,0.0,17.0,-0.004
22,28,13,3.0,9.0,0.0,21.0,-1.34
26,23,14,7.0,4.0,0.0,25.0,0.884
24,28,5,5.0,9.0,0.0,25.0,1.028
27,21,32,7.0,1.0,10.0,25.0,1.09
24,23,13,5.0,4.0,0.0,20.0,-2.508
28,27,50,9.0,8.0,0.0,33.0,0.0
23,26,31,4.0,7.0,0.0,21.0,-2.654
24,27,83,5.0,8.0,0.0,26.0,1.934
21,29,83,2.0,10.0,0.0,22.0,-0.015
23,27,31,4.0,8.0,0.0,22.0,-1.82
28,25,32,9.0,6.0,0.0,31.0,3.914
28,21,83,9.0,2.0,0.0,28.0,0.0
23,25,82,4.0,6.0,0.0,21.0,-2.834
28,29,32,9.0,10.0,0.0,35.0,0.002
22,21,31,3.0,2.0,0.0,14.0,-2.452
24,26,51,5.0,7.0,0.0,25.0,1.004
22,25,51,3.0,6.0,0.0,20.0,-0.524
21,21,5,2.0,2.0,0.0,12.0,-1.151
24,24,83,5.0,5.0,0.0,23.0,-3.128
22,29,33,3.0,10.0,0.0,24.0,0.017
28,23,49,9.0,4.0,0.0,28.0,0.004
23,25,49,4.0,6.0,0.0,20.0,-2.86
21,24,13,2.0,5.0,0.0,15.0,-3.061
26,27,32,7.0,8.0,0.0,29.0,5.147
26,25,50,7.0,6.0,0.0,27.0,7.56
28,30,49,9.0,10.0,0.0,35.0,0.002
26,21,5,7.0,2.0,0.0,22.0,-4.025
21,30,33,2.0,10.0,0.0,23.0,-0.005
27,24,82,7.0,5.0,10.0,28.0,3.99
22,24,50,3.0,5.0,0.0,18.0,-0.298
22,25,49,3.0,6.0,0.0,18.0,-0.429
23,24,14,4.0,5.0,0.0,20.0,-1.575
23,26,51,4.0,7.0,0.0,23.0,-0.966
25,30,51,5.0,10.0,10.0,31.0,5.958
25,23,50,5.0,3.0,10.0,23.0,-1.039
23,23,13,4.0,4.0,0.0,18.0,0.0
22,25,31,3.0,6.0,0.0,18.0,-0.129
23,29,51,4.0,10.0,0.0,26.0,1.225
28,24,13,9.0,5.0,0.0,29.0,3.197
24,23,82,5.0,4.0,0.0,21.0,-2.915
27,25,31,7.0,5.0,10.0,28.0,4.085
28,21,32,9.0,2.0,0.0,27.0,0.001
26,29,50,7.0,10.0,0.0,31.0,4.653
23,26,82,4.0,7.0,0.0,22.0,-1.914
26,25,82,7.0,6.0,0.0,27.0,8.024
25,27,51,5.0,7.0,10.0,28.0,3.992
25,21,14,5.0,1.0,0.0,21.0,-2.953
27,23,33,7.0,3.0,10.0,28.0,0.936
22,28,32,3.0,9.0,0.0,22.0,-0.035
24,28,33,5.0,9.0,0.0,27.0,1.285
21,29,33,2.0,10.0,0.0,22.0,-0.229
23,30,32,4.0,10.0,0.0,26.0,1.121
22,27,31,3.0,8.0,0.0,20.0,-0.009
22,26,32,3.0,7.0,0.0,20.0,-1.939
26,24,32,7.0,5.0,0.0,26.0,1.946
23,21,13,4.0,2.0,0.0,16.0,-0.428
28,26,32,9.0,7.0,0.0,32.0,2.862
26,23,33,7.0,4.0,0.0,26.0,1.896
28,23,31,9.0,4.0,0.0,28.0,0.002
28,26,51,9.0,7.0,0.0,33.0,3.277
22,23,13,3.0,4.0,0.0,16.0,-1.164
23,25,33,4.0,6.0,0.0,22.0,-1.802
23,24,31,4.0,5.0,0.0,19.0,-0.858
22,23,82,3.0,4.0,0.0,17.0,-0.009
26,26,82,7.0,7.0,0.0,28.0,6.954
24,30,33,5.0,10.0,0.0,29.0,4.232
21,23,49,2.0,4.0,0.0,14.0,-2.54
22,29,32,3.0,10.0,0.0,23.0,-0.01
25,23,82,5.0,3.0,10.0,23.0,-1.06
23,24,5,4.0,5.0,0.0,19.0,-0.11
25,27,83,5.0,7.0,10.0,28.0,3.991
23,27,14,4.0,8.0,0.0,23.0,-0.911
23,21,49,4.0,2.0,0.0,16.0,-0.125
25,25,50,5.0,5.0,10.0,25.0,0.941
27,24,13,7.0,5.0,0.0,27.0,3.069
