id,formula,X,Y,Z,struct,dE,form_en,lat,ahc,Tc,efermi,polarization,magX1,magX2,magY,magZ,magsum,ne,negativityX,negativityY,negativityZ,numX,numY,numZ,radiusX,radiusY,radiusZ,rXY,rYZ,rXZ,weightX,weightY,weightZ,densityX,densityY,densityZ,dipoleX,dipoleY,dipoleZ,latX,latY,latZ,structX,structY,structZ,periodX,periodY,periodZ,groupX,groupY,groupZ
951,Mn2PtGa,Mn,Pt,Ga,xa,-0.492092,-0.38418875,6.099411171,27.5104,367.502,8.5774,0.250648,3.5,-3.193,0.068,0.031,0.406,27,1.55,2.2,1.81,25,78,31,140,135,130,1.037037,1.038462,1.076923,54.938044,195.084,69.723,7.3,21.5,5.91,68,48,50,8.89,3.92,4.51,CUB,FCC,ORC,4,6,4,7,10,13
2306,Sc2ScPb,Sc,Sc,Pb,l21,0.000011,-0.09867975,7.248879711,27.2885,57.0015,4.9752,0.426395,0.368,0.368,0.603,-0.04,1.299,13,1.36,1.36,1.8,21,21,82,160,160,180,1,0.888889,0.888889,44.955908,44.955908,207.2,2.99,2.99,11.3,97,97,47,3.31,3.31,4.95,HEX,HEX,FCC,4,4,6,3,3,14
2536,Ti2PtIn,Ti,Pt,In,xa,-0.31782,-0.44389875,6.523480078,27.2817,123.002,8.0345,1,0.899,1.527,0.097,0.012,2.535,21,1.54,2.2,1.78,22,78,49,140,135,155,1.037037,0.870968,0.903226,47.867,195.084,114.818,4.506,21.5,7.31,100,48,65,2.95,3.92,4.59,HEX,FCC,TET,4,6,5,4,10,13
122,Co2NbAl,Co,Nb,Al,l21,1.441213,-0.408187,5.965192404,27.2776,403.502,8.1547,1,1.033,1.033,-0.013,0.003,2.056,26,1.88,1.6,1.61,27,41,13,135,145,125,0.931034,1.16,1.08,58.933194,92.90637,26.981538,8.86,8.57,2.7,55,98,57.8,2.51,3.3,4.05,HEX,BCC,FCC,4,5,3,9,5,13
2321,Sc2VAl,Sc,V,Al,l21,0.452634,-0.13902325,6.763923254,27.1733,171.002,5.1047,0.280158,0.163,0.163,2.298,-0.041,2.583,14,1.36,1.63,1.61,21,23,13,160,135,125,1.185185,1.08,1.28,44.955908,50.9415,26.981538,2.99,6,2.7,97,87,57.8,3.31,3.02,4.05,HEX,BCC,FCC,4,4,3,3,5,13
2166,Sc2CrSn,Sc,Cr,Sn,l21,0.173326,-0.14284775,6.933297955,26.7285,477.002,5.8129,0.644949,-0.212,-0.212,3.445,-0.063,2.958,16,1.36,1.66,1.96,21,24,50,160,140,145,1.142857,0.965517,1.103448,44.955908,51.9961,118.71,2.99,7.15,7.287,97,83,53,3.31,2.88,5.82,HEX,BCC,TET,4,4,5,3,6,14
578,Fe2CrGe,Fe,Cr,Ge,xa,-0.040405,-0.02984975,5.76520705,26.697,472.502,10.1079,0.476979,2.501,1.111,-1.705,0.018,1.925,26,1.83,1.66,2.01,26,24,32,140,140,125,1,1.12,1.12,55.845,51.9961,72.63,7.87,7.15,5.3234,62,83,40,2.87,2.88,5.66,BCC,BCC,DIA,4,4,4,8,6,14
2309,Sc2ScSn,Sc,Sc,Sn,l21,0,-0.2749205,7.147152502,26.594,0,5.0781,0.245539,0.324,0.324,0.55,-0.038,1.16,13,1.36,1.36,1.96,21,21,50,160,160,145,1,1.103448,1.103448,44.955908,44.955908,118.71,2.99,2.99,7.287,97,97,53,3.31,3.31,5.82,HEX,HEX,TET,4,4,5,3,3,14
1530,Pd2VAs,Pd,V,As,xa,-0.332794,-0.20253575,6.20387347,26.5559,0,8.933,0.067335,0.005,0,0.212,0,0.217,30,2.2,1.63,2.18,46,23,33,140,135,115,1.037037,1.173913,1.217391,106.42,50.9415,74.921595,12,6,5.75,26.14,87,30,3.89,3.02,4.13,FCC,BCC,RHL,5,4,4,10,5,15
2519,Ti2PdAl,Ti,Pd,Al,xa,-0.349582,-0.43517725,6.342877935,26.4508,190.502,7.7634,1,0.936,1.492,0.092,-0.018,2.502,21,1.54,2.2,1.61,22,46,13,140,140,125,1,1.12,1.12,47.867,106.42,26.981538,4.506,12,2.7,100,26.14,57.8,2.95,3.89,4.05,HEX,FCC,FCC,4,5,3,4,10,13
670,Fe2NiSi,Fe,Ni,Si,xa,-0.301283,-0.2950545,5.628769382,26.1856,285.002,10.7899,0.614975,2.585,1.731,0.425,-0.014,4.727,30,1.83,1.91,1.9,26,28,14,140,135,110,1.037037,1.227273,1.272727,55.845,58.6934,28.085,7.87,8.9,2.3296,62,49,37.3,2.87,3.52,5.43,BCC,FCC,DIA,4,4,3,8,10,14
2838,V2TiAl,V,Ti,Al,xa,-0.451319,-0.13292825,6.185526877,26.0264,268.502,6.3446,0.175714,-0.42,0.91,-0.318,-0.003,0.169,17,1.63,1.54,1.61,23,22,13,135,140,125,0.964286,1.12,1.08,50.9415,47.867,26.981538,6,4.506,2.7,87,100,57.8,3.02,2.95,4.05,BCC,HEX,FCC,4,4,3,5,4,13
1274,Ni2VSb,Ni,V,Sb,l21,0.215401,-0.04454525,6.051595196,25.9446,151.502,9.6611,0.57601,0.029,0.029,1.491,-0.034,1.515,30,1.91,1.63,2.05,28,23,51,135,135,145,1,0.931034,0.931034,58.6934,50.9415,121.76,8.9,6,6.68,49,87,43,3.52,3.02,4.51,FCC,BCC,RHL,4,4,5,10,5,15
2469,Ti2IrGe,Ti,Ir,Ge,xa,-0.080056,-0.50076975,6.254881324,25.9006,0,8.0076,0.133887,0.665,1.532,0.117,0.006,2.32,21,1.54,2.2,2.01,22,77,32,140,135,125,1.037037,1.08,1.12,47.867,192.217,72.63,4.506,22.5622,5.3234,100,54,40,2.95,3.84,5.66,HEX,FCC,DIA,4,6,4,4,9,14
2182,Sc2FeGa,Sc,Fe,Ga,l21,0.662453,-0.330305,6.499970192,25.7917,94.5015,5.0843,0.085926,-0.176,-0.176,1.182,-0.046,0.784,17,1.36,1.83,1.81,21,26,31,160,140,130,1.142857,1.076923,1.230769,44.955908,55.845,69.723,2.99,7.87,5.91,97,62,50,3.31,2.87,4.51,HEX,BCC,ORC,4,4,4,3,8,13
439,Cr2RhSi,Cr,Rh,Si,xa,-1.09559,-0.267999,5.859898547,25.7508,841.502,11.3315,0.977733,2.214,-1.402,0.184,0.006,1.002,25,1.66,2.28,1.9,24,45,14,140,135,110,1.037037,1.227273,1.272727,51.9961,102.9055,28.085,7.15,12.4,2.3296,83,66,37.3,2.88,3.8,5.43,BCC,FCC,DIA,4,5,3,6,9,14
904,Mn2MoAs,Mn,Mo,As,xa,-0.462219,-0.04069275,5.969903149,25.5803,0,10.6292,0.80521,2.657,-1.308,-0.467,0.068,0.95,25,1.55,2.16,2.18,25,42,33,140,145,115,0.965517,1.26087,1.217391,54.938044,95.95,74.921595,7.3,10.2,5.75,68,87,30,8.89,3.15,4.13,CUB,BCC,RHL,4,5,4,7,6,15
2560,Ti2RuSb,Ti,Ru,Sb,xa,-0.428712,-0.31852275,6.428948387,25.485,0,9.9307,0.362344,0.564,1.483,0.159,-0.005,2.201,21,1.54,2.2,2.05,22,44,51,140,130,145,1.076923,0.896552,0.965517,47.867,101.07,121.76,4.506,12.1,6.68,100,72,43,2.95,2.7,4.51,HEX,HEX,RHL,4,5,5,4,8,15
108,Co2MnSb,Co,Mn,Sb,l21,1.67606,-0.103693,6.004081863,25.2143,924.002,10.8705,0.999996,1.239,1.239,3.471,0.003,5.952,30,1.88,1.55,2.05,27,25,51,135,140,145,0.964286,0.965517,0.931034,58.933194,54.938044,121.76,8.86,7.3,6.68,55,68,43,2.51,8.89,4.51,HEX,CUB,RHL,4,4,5,9,7,15
1890,Ru2CoSi,Ru,Co,Si,l21,1.055029,-0.2293055,5.847689642,25.1995,211.502,11.89,0.249003,0.249,0.249,1.411,0.004,1.913,29,2.2,1.88,1.9,44,27,14,130,135,110,0.962963,1.227273,1.181818,101.07,58.933194,28.085,12.1,8.86,2.3296,72,55,37.3,2.7,2.51,5.43,HEX,HEX,DIA,5,4,3,8,9,14
253,Co2ZnSn,Co,Zn,Sn,l21,1.214943,-0.0152295,5.992816238,24.7938,0,7.6435,0.532529,0.266,0.266,-0.014,-0.027,0.491,24,1.88,1.65,1.96,27,30,50,135,135,145,1,0.931034,0.931034,58.933194,65.38,118.71,8.86,7.134,7.287,55,38.67,53,2.51,2.66,5.82,HEX,HEX,TET,4,4,5,9,12,14
1616,Rh2CdSn,Rh,Cd,Sn,l21,1.459215,-0.3258115,6.443800457,24.6368,0,8.3556,0.468961,0.059,0.059,0,0.003,0.121,24,2.28,1.69,1.96,45,48,50,135,155,145,0.870968,1.068966,0.931034,102.9055,112.414,118.71,12.4,8.69,7.287,66,46,53,3.8,2.98,5.82,FCC,HEX,TET,5,5,5,9,12,14
