id,formula,X,Y,Z,energy,formation,lat,spacegroup,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
734753,LiZn2Bi,Zn,Li,Bi,-2.162,-0.045,6.817027683434939,F-43m,0.0,0.0,0.0,0.0,0.0
715980,LiZn2Ge,Zn,Li,Ge,-2.334,-0.071,6.297050773785804,F-43m,0.0,0.0,0.0,0.0,0.0
734691,LiMgZn2,Zn,Li,Mg,-1.655,-0.162,6.253576619523088,F-43m,0.0,0.0,0.0,0.0,0.0
734752,LiZn2Pb,Zn,Li,Pb,-2.042,-0.008,6.710239041237498,F-43m,0.0,0.0,0.0,0.0,0.0
734751,LiZn2Sb,Zn,Li,Sb,-2.216,-0.079,6.684795103726904,F-43m,0.0,0.0,0.0,0.0,0.0
732599,LiZn2Sn,Zn,Li,Sn,-2.181,-0.095,6.5647338426992645,F-43m,0.0,0.0,0.0,0.0,0.0
483810,MgAlZn2,Zn,Mg,Al,-1.943,0.012,6.396482442039506,Fm-3m,0.0,0.0,0.0,0.0,0.0
734698,MgZn2As,Zn,Mg,As,-2.168,0.014,6.640340622193388,F-43m,0.0,0.0,0.0,0.0,0.0
734693,MgZn2B,Zn,Mg,B,-2.123,0.566,6.033442878943271,F-43m,0.0,0.0,0.0,0.0,0.0
734703,MgZn2Bi,Zn,Mg,Bi,-1.93,0.098,7.044827955501336,F-43m,0.0,0.0,0.0,0.0,0.0
734696,MgZn2Ga,Zn,Mg,Ga,-1.768,0.009,6.502894174666202,F-43m,0.0,0.0,0.0,0.0,0.0
734697,MgZn2Ge,Zn,Mg,Ge,-2.113,0.062,6.566960686100281,F-43m,0.0,0.0,0.0,0.0,0.0
483651,MgZn2In,Zn,Mg,In,-1.657,0.041,6.689088946104707,Fm-3m,0.0,0.0,0.0,0.0,0.0
481877,MgZn2Pb,Zn,Mg,Pb,-1.825,0.12,6.9147761482080075,Fm-3m,0.0,0.0,0.0,0.0,0.0
734701,MgZn2Sb,Zn,Mg,Sb,-1.984,0.064,6.9076300109397,F-43m,0.0,0.0,0.0,0.0,0.0
734695,MgZn2Si,Zn,Mg,Si,-2.209,0.166,6.422447218740787,F-43m,0.0,0.0,0.0,0.0,0.0
483741,MgZn2Sn,Zn,Mg,Sn,-1.968,0.029,6.775343228663766,Fm-3m,0.0,0.0,0.0,0.0,0.0
734732,MnAlZn2,Zn,Mn,Al,-3.772,0.054,6.0746235943519284,F-43m,2.984,-0.028,-0.022,2.94,-0.046
715969,MnZn2As,Zn,Mn,As,-3.84,0.212,6.324770206256696,F-43m,3.648,-0.009,-0.017,3.496,-0.015
734731,MnZn2B,Zn,Mn,B,-4.016,0.543,5.743728511931571,F-43m,3.136,-0.014,-0.012,3.038,-0.035
734741,MnZn2Bi,Zn,Mn,Bi,-3.523,0.376,6.794343623783871,F-43m,3.952,-0.014,0.002,3.746,-0.037
