id,formula,X,Y,Z,energy,formation,volume,spacegroup,band_gap,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
737942,MgNb2Bi,Nb,Mg,Bi,-6.068,0.375,20.096,F-43m,0.0,0.02,-0.012,0.06,0.0,0.0
737935,MgNb2Ga,Nb,Mg,Ga,-6.013,0.178,17.787,F-43m,0.0,0.075,0.156,0.095,0.0,-0.001
737936,MgNb2Ge,Nb,Mg,Ge,-6.443,0.146,17.444,F-43m,0.0,0.001,0.001,0.001,0.0,0.0
737938,MgNb2In,Nb,Mg,In,-5.836,0.276,19.364,F-43m,0.0,0.041,0.0,0.0,0.0,0.0
737941,MgNb2Pb,Nb,Mg,Pb,-5.974,0.384,19.89,F-43m,0.0,0.001,0.0,0.002,0.0,0.0
737940,MgNb2Sb,Nb,Mg,Sb,-6.315,0.147,19.002,F-43m,0.0,0.03,-0.006,0.082,0.0,0.003
737933,MgNb2Si,Nb,Mg,Si,-6.68,0.109,16.913,F-43m,0.0,0.001,0.001,0.001,0.0,0.0
737939,MgNb2Sn,Nb,Mg,Sn,-6.293,0.118,19.141,F-43m,0.0,0.001,0.002,0.001,0.0,0.0
737934,MgNb2Zn,Nb,Mg,Zn,-5.411,0.338,17.765,F-43m,0.0,0.16,0.345,0.165,0.002,0.005
737960,MnNb2Al,Nb,Mn,Al,-8.225,0.015,15.473,F-43m,0.0,0.499,-0.36,0.462,1.88,-0.023
487398,MnNb2As,Nb,Mn,As,-8.513,-0.046,15.733,Fm-3m,0.0,0.396,-0.303,-0.303,2.104,0.048
488915,MnNb2B,Nb,Mn,B,-8.724,0.249,13.534,Fm-3m,0.0,0.2,-0.165,-0.165,1.075,0.03
488640,MnNb2Bi,Nb,Mn,Bi,-7.906,0.407,18.432,Fm-3m,0.0,0.303,-0.622,-0.622,2.576,0.028
487022,MnNb2Ga,Nb,Mn,Ga,-8.04,0.021,15.678,Fm-3m,0.0,0.245,-0.21,-0.21,1.409,-0.008
737964,MnNb2Ge,Nb,Mn,Ge,-8.416,0.043,15.398,F-43m,0.0,0.722,-0.233,0.82,2.187,-0.018
737966,MnNb2In,Nb,Mn,In,-7.737,0.247,17.0,F-43m,0.0,0.579,-0.437,0.289,2.493,-0.043
487788,MgMnNb2,Nb,Mn,Mg,-7.345,0.344,16.064,Fm-3m,0.0,0.0,0.0,0.0,0.001,0.0
737969,MnNb2Pb,Nb,Mn,Pb,-7.837,0.392,18.288,F-43m,0.0,0.77,-0.419,0.599,2.836,-0.025
488137,MnNb2Sb,Nb,Mn,Sb,-8.218,0.115,17.474,Fm-3m,0.0,0.364,-0.461,-0.461,2.413,0.033
487257,MnNb2Si,Nb,Mn,Si,-8.763,-0.103,15.165,Fm-3m,0.0,0.285,-0.247,-0.247,1.605,0.028
737967,MnNb2Sn,Nb,Mn,Sn,-8.204,0.078,17.513,F-43m,0.0,0.751,-0.389,0.689,2.612,-0.026
488618,MnNb2Zn,Nb,Mn,Zn,-7.494,0.126,15.23,Fm-3m,0.0,-0.002,-0.001,-0.001,-0.005,0.0
486932,Nb2AlNi,Nb,Ni,Al,-7.385,-0.01,15.704,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487001,Nb2NiAs,Nb,Ni,As,-7.796,-0.195,15.413,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488316,Nb2NiB,Nb,Ni,B,-7.99,0.118,13.425,Fm-3m,0.0,,0.0,0.0,0.0,0.0
489134,Nb2NiBi,Nb,Ni,Bi,-7.122,0.327,18.074,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488463,Nb2GaNi,Nb,Ni,Ga,-7.249,-0.052,15.609,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487380,Nb2NiGe,Nb,Ni,Ge,-7.723,-0.128,15.552,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488150,Nb2InNi,Nb,Ni,In,-6.861,0.258,17.287,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488838,MgNb2Ni,Nb,Ni,Mg,-6.481,0.343,16.185,Fm-3m,0.0,,0.0,0.0,0.0,0.0
489309,Nb2NiPb,Nb,Ni,Pb,-6.977,0.388,17.864,Fm-3m,0.0,,0.0,0.0,0.0,0.0
489281,Nb2NiSb,Nb,Ni,Sb,-7.439,0.029,17.136,Fm-3m,0.0,,0.0,0.0,0.0,0.0
489185,Nb2SiNi,Nb,Ni,Si,-8.009,-0.214,15.048,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488861,Nb2NiSn,Nb,Ni,Sn,-7.334,0.083,17.331,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487401,Nb2ZnNi,Nb,Ni,Zn,-6.67,0.085,15.336,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737849,Nb2AlPd,Nb,Pd,Al,-7.363,-0.086,16.731,F-43m,0.0,0.219,0.167,0.485,0.069,0.003
488277,Nb2AsPd,Nb,Pd,As,-7.755,-0.251,16.535,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488214,Nb2BPd,Nb,Pd,B,-7.758,0.253,14.848,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487374,Nb2BiPd,Nb,Pd,Bi,-7.195,0.156,18.852,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488989,Nb2GaPd,Nb,Pd,Ga,-7.184,-0.085,16.905,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488990,Nb2GePd,Nb,Pd,Ge,-7.676,-0.179,16.785,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737855,Nb2InPd,Nb,Pd,In,-6.928,0.093,18.225,F-43m,0.0,0.151,0.101,0.344,0.042,0.008
486902,MgNb2Pd,Nb,Pd,Mg,-6.443,0.284,17.494,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487263,Nb2PdPb,Nb,Pd,Pb,-7.037,0.23,18.741,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487021,Nb2SbPd,Nb,Pd,Sb,-7.475,-0.105,18.091,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488272,Nb2SiPd,Nb,Pd,Si,-7.923,-0.226,16.182,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487762,Nb2SnPd,Nb,Pd,Sn,-7.365,-0.046,18.161,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488008,Nb2ZnPd,Nb,Pd,Zn,-6.579,0.079,16.652,Fm-3m,0.0,,0.0,0.0,0.0,0.0
745617,Nb2AlPt,Nb,Pt,Al,-7.759,-0.262,16.678,F-43m,0.0,0.183,0.103,0.436,0.076,0.003
488586,Nb2AsPt,Nb,Pt,As,-8.062,-0.338,16.804,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488884,Nb2BPt,Nb,Pt,B,-8.034,0.196,15.164,Fm-3m,0.0,,0.0,0.0,0.0,0.0
489386,Nb2BiPt,Nb,Pt,Bi,-7.506,0.064,18.979,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488247,Nb2GaPt,Nb,Pt,Ga,-7.497,-0.178,17.018,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487658,Nb2GePt,Nb,Pt,Ge,-7.959,-0.242,16.989,Fm-3m,0.0,,0.0,0.0,0.0,0.0
745623,Nb2InPt,Nb,Pt,In,-7.261,-0.02,18.138,F-43m,0.0,0.033,0.009,0.085,0.013,0.002
488912,MgNb2Pt,Nb,Pt,Mg,-6.85,0.097,17.432,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487208,Nb2PtPb,Nb,Pt,Pb,-7.333,0.154,18.783,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487869,Nb2SbPt,Nb,Pt,Sb,-7.766,-0.176,18.236,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488774,Nb2SiPt,Nb,Pt,Si,-8.196,-0.279,16.506,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488464,Nb2SnPt,Nb,Pt,Sn,-7.65,-0.111,18.292,Fm-3m,0.0,,0.0,0.0,0.0,0.0
745619,Nb2ZnPt,Nb,Pt,Zn,-6.957,-0.079,16.602,F-43m,0.0,0.008,0.003,0.016,0.002,0.0
737877,Nb2AlRh,Nb,Rh,Al,-8.028,-0.227,16.332,F-43m,0.0,0.29,0.156,0.657,0.157,-0.001
489098,Nb2AsRh,Nb,Rh,As,-8.255,-0.228,16.41,Fm-3m,0.0,,0.0,0.0,0.0,0.0
487608,Nb2BRh,Nb,Rh,B,-8.314,0.22,14.591,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737887,Nb2BiRh,Nb,Rh,Bi,-7.675,0.199,18.671,F-43m,0.0,0.003,0.001,0.0,0.0,0.0
737880,Nb2GaRh,Nb,Rh,Ga,-7.775,-0.153,16.399,F-43m,0.0,0.224,0.129,0.533,0.129,0.006
488876,Nb2GeRh,Nb,Rh,Ge,-8.175,-0.155,16.502,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737883,Nb2InRh,Nb,Rh,In,-7.542,0.003,17.745,F-43m,0.0,0.308,0.162,0.711,0.189,0.011
489212,MgNb2Rh,Nb,Rh,Mg,-7.054,0.196,17.06,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737886,Nb2RhPb,Nb,Rh,Pb,-7.59,0.201,18.42,F-43m,0.0,0.148,0.009,0.367,0.129,0.006
737885,Nb2SbRh,Nb,Rh,Sb,-7.962,-0.068,17.705,F-43m,0.0,0.006,0.002,0.002,-0.001,-0.001
489425,Nb2SiRh,Nb,Rh,Si,-8.437,-0.217,16.06,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737884,Nb2SnRh,Nb,Rh,Sn,-7.95,-0.108,17.793,F-43m,0.0,0.167,0.026,0.4,0.144,0.01
1121878,Nb2ZnRh,Nb,Rh,Zn,-7.212,-0.031,16.178,F-43m,0.0,0.277,0.0,0.0,0.0,0.0
737808,Nb2AlRu,Nb,Ru,Al,-8.468,-0.184,16.209,F-43m,0.0,0.003,0.0,0.008,0.002,0.0
487428,Nb2AsRu,Nb,Ru,As,-8.563,-0.053,16.373,Fm-3m,0.0,,0.0,0.0,0.0,0.0
488173,Nb2BRu,Nb,Ru,B,-8.716,0.301,14.505,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737818,Nb2BiRu,Nb,Ru,Bi,-8.068,0.289,18.454,F-43m,0.0,0.003,-0.002,0.007,0.004,0.0
737811,Nb2GaRu,Nb,Ru,Ga,-8.214,-0.108,16.212,F-43m,0.0,0.003,0.0,0.008,0.002,0.0
737812,Nb2GeRu,Nb,Ru,Ge,-8.59,-0.086,16.19,F-43m,0.0,0.004,0.0,0.009,0.004,0.0
737814,Nb2InRu,Nb,Ru,In,-7.944,0.083,17.618,F-43m,0.0,0.031,0.01,0.08,0.012,0.001
487184,MgNb2Ru,Nb,Ru,Mg,-7.527,0.206,16.905,Fm-3m,0.0,,0.0,0.0,0.0,0.0
737817,Nb2RuPb,Nb,Ru,Pb,-7.994,0.279,18.248,F-43m,0.0,0.001,-0.001,0.003,0.001,0.0
