pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
Sc2InAg,Sc,Ag,In,-19.75521223,-4.9388030575,86.70557323090308,-0.3765085716666672,225,0.0,5.98671125340022,0.0007389
Sc2ZnAg,Sc,Ag,Zn,-18.04444091,-4.5111102275,78.72076387733203,-0.3218007716666662,225,0.0,5.551720216197891,0.0003011
Sc2AlCd,Sc,Cd,Al,-18.77425551,-4.6935638775,83.92088434434069,-0.3602129274999992,225,0.0,4.537235936131904,0.0082124
Sc2CdGa,Sc,Cd,Ga,-18.37486755,-4.5937168875,82.15581931212802,-0.4397358893750001,225,0.0,5.49860889270811,0.0231402
Sc2CdIn,Sc,Cd,In,-17.835345,-4.45883625,89.9326624576641,-0.37395832499999937,225,0.0,5.8557671203565675,0.1660267
MgSc2Cd,Sc,Cd,Mg,-15.86369318,-3.965923295,90.33081299921064,-0.16889628999999973,225,0.0,4.166068507916979,0.0011368
Sc2AlIr,Sc,Ir,Al,-28.19606396,-7.04901599,71.94217116167945,-0.736779874999999,225,0.0,7.13475593938704,0.0001464
Sc2GaIr,Sc,Ir,Ga,-27.75280862,-6.938202155,71.49530301935651,-0.8053359918750003,225,0.0,8.172057110496963,0.0012974
Sc2ZnIr,Sc,Ir,Zn,-25.68694882,-6.421737205,70.72089452667886,-0.7309591450000008,225,0.0,8.160249353964957,0.0014723
MgSc2Ir,Sc,Ir,Mg,-25.37001492,-6.34250373,75.01426854949973,-0.56659156,225,0.0,6.7833139737123,0.0106192
Sc2GaPt,Sc,Pt,Ga,-25.40342939,-6.3508573475,74.20786565529711,-0.9098718618749997,225,0.0,7.937493683573741,0.0015004
Sc2ZnPt,Sc,Pt,Zn,-23.33766182,-5.834415455,73.16949257639624,-0.8355180725000002,225,0.0,7.9522336275542225,0.0028076
Sc2GaAu,Sc,Au,Ga,-21.75463157,-5.4386578925,78.73791342255402,-0.6969289493749997,225,0.0,7.5205262438521965,4.34e-05
Sc2ZnAu,Sc,Au,Zn,-19.59464079,-4.8986601975,77.53547688831382,-0.5990193574999996,225,0.0,7.544765341287747,0.0081191
LiSc2Ga,Sc,Li,Ga,-18.98100204,-4.74525051,77.16014385494037,-0.3447612352083329,225,0.0,3.5848256558865335,0.0004292
MgSc2Al,Sc,Mg,Al,-19.14843671,-4.7871091775,82.93530413995052,-0.2844106549999994,225,0.0,2.827087929183932,0.0017468
MgSc2Ga,Sc,Mg,Ga,-18.68083749,-4.6702093725,81.79640108597917,-0.3468808018749989,225,0.0,3.734140617439512,0.0064802
